name,code,country
Alabama,AL,US
Alaska,AK,US
Arizona,AZ,US
Arkansas,AR,US
California,CA,US
Colorado,CO,US
Connecticut,CT,US
Delaware,DE,US
Florida,FL,US
Georgia,GA,US
Hawaii,HI,US
Idaho,ID,US
Illinois,IL,US
Indiana,IN,US
Iowa,IA,US
Kansas,KS,US
Kentucky,KY,US
Louisiana,LA,US
Maine,ME,US
Maryland,MD,US
Massachusetts,MA,US
Michigan,MI,US
Minnesota,MN,US
Mississippi,MS,US
Missouri,MO,US
Montana,MT,US
Nebraska,NE,US
Nevada,NV,US
New Hampshire,NH,US
New Jersey,NJ,US
New Mexico,NM,US
New York,NY,US
North Carolina,NC,US
North Dakota,ND,US
Ohio,OH,US
Oklahoma,OK,US
Oregon,OR,US
Pennsylvania,PA,US
Rhode Island,RI,US
South Carolina,SC,US
South Dakota,SD,US
Tennessee,TN,US
Texas,TX,US
Utah,UT,US
Vermont,VT,US
Virginia,VA,US
Washington,WA,US
West Virginia,WV,US
Wisconsin,WI,US
Wyoming,WY,US
Washington DC,DC,US
Guam,GU,US
Puerto Rico,PR,US
Alberta,AB,CN
British Columbia,BC,CN
Manitoba,MB,CN
New Brunswick,NB,CN
Newfoundland and Labrador,NL,CN
Nova Scotia,NS,CN
Ontario,ON,CN
Prince Edward Island,PE,CN
Quebec,QC,CN
Saskatchewan,SK,CN
New South Wales,NSW,AU
South Australia,SA,AU
Queensland,QLD,AU
Tasmania,TAS,AU
Western Australia,WA,AU
